Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BHGAhzk8iqk7eRrYKN5my,"Blue Pill","Hip Hop Hit List (Vol. 3)","Metro Boomin,Travis Scott",2017-11-03,233033,14,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:43Z,"rap,slap house","UMG Recordings, Inc.",0.37,0.422,3,-12.232,0,0.0664,0.306,0,0.163,0.0764,132.776,4
2kOe6TMCI6FnnJlTTnDMf6,"Love Me Love Me Love Me","Illegal Alien, Pt. 1","Philly Swain,Travis Scott",2020-04-04,184476,15,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:47Z,"rap,slap house","The Parade",0.797,0.484,8,-10.181,1,0.126,0.0871,0,0.139,0.366,105.409,4
2d1U1aS0fB637ufLSS9RZL,"3500 - Chopped & Screwed","Str8 out of Htown-Chopped & Screwed","Travis Scott",2015-10-20,233874,19,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:50Z,"rap,slap house","1 Stop Graphics & Business Solutions, LLC",0.693,0.403,1,-12.248,1,0.214,0.362,0.000193,0.206,0.218,102.195,4
31UQHFbJyu1Yg8kWH5Rif2,"Why You So Nasty? (feat. Travis Scott)","Taking All Bets","Jay 305,Travis Scott",2017-07-14,208958,21,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:53Z,"west coast trap,rap,slap house","UMGRI Interscope",0.734,0.583,9,-8.362,1,0.206,0.00652,0.00316,0.23,0.411,92.397,4
24BqkVPO7AvwCamxnTgmU6,"Go Legend (& Metro Boomin)","Finessed Flow","Big Sean,Metro Boomin,Travis Scott",2018-03-23,270866,13,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:09:01Z,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,slap house","UMG Recordings, Inc.",0.652,0.578,1,-8.988,0,0.116,0.017,0,0.116,0.189,149.985,4
6Y1bQK33IcUohKVSzBd0Ud,"Fingers Blue (feat. Travis Scott)","Deadstar","Smokepurpp,Travis Scott",2017-09-29,194771,43,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:15:53Z,"melodic rap,miami hip hop,trap,underground hip hop,rap,slap house","Alamo",0.879,0.882,0,-5.47,0,0.239,0.34,0.0000158,0.135,0.837,130.033,4
2ZUB9HmehjzkQYAKHQMcpX,"5 Mo (feat. Travis Scott & Lil Durk)","Casino Life 2: Brown Bag Legend","French Montana,Travis Scott,Lil Durk",2015-05-08,196200,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:20:18Z,"hip hop,pop rap,rap,southern hip hop,trap,slap house,chicago drill,chicago rap,drill","French Montana",0.723,0.655,0,-5.214,1,0.0495,0.0534,0,0.414,0.249,128.506,4
16qv6mdOIqxS6gA4e4il7i,"Man of My City (feat. Big Sean & Travis Scott)","Wave Gods","French Montana,Big Sean,Travis Scott",2016-02-19,202133,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:20:22Z,"hip hop,pop rap,rap,southern hip hop,trap,detroit hip hop,r&b,slap house","French Montana",0.615,0.767,5,-3.985,1,0.068,0.0325,0,0.328,0.345,97.069,4
4JycKdNF9z7m6Va6PrepOC,"4 AM","Rap With Guitar","2 Chainz,Travis Scott",2019-11-01,255560,13,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:20:27Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,slap house","UME - Global Clearing House",0.796,0.5,6,-7.21,0,0.423,0.121,0,0.155,0.227,75.012,4
43C2Q0wSw19wkIfwbDjbIb,"No English (feat. Travis Scott)","No English (feat. Travis Scott)","Juicy J,Travis Scott",2016-06-17,217026,33,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:20:31Z,"crunk,memphis hip hop,pop rap,rap,southern hip hop,trap,slap house","Kemosabe Records/Columbia",0.804,0.632,10,-8.018,0,0.0726,0.00186,0.000134,0.0667,0.342,137.994,4
6cMGECjzH3m1QjfCmFqQM6,"Second Emotion","Party","Justin Bieber,Travis Scott",2020-04-07,202720,21,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:21:24Z,"canadian pop,pop,rap,slap house","RBMG/Def Jam",0.797,0.778,11,-6.112,0,0.0569,0.0278,0.0000253,0.0951,0.96,141.976,4
3eLnQc2cuxVZBMOUSJfEVj,"Chimes RMX","Chimes","Hudson Mohawke,Pusha T,Future,Travis Scott,French Montana",2014-09-29,192496,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:21:30Z,"instrumental hip hop,purple sound,scottish electronic,scottish hip hop,uk experimental electronic,wonky,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop,atl hip hop,slap house","Warp Records",0.595,0.702,1,-5.129,1,0.0929,0.0312,0,0.109,0.681,140.958,4
5CRkUL8PwtIbYCUjXUkZCh,"On My Vibe (Feat. Travi$ Scott)","Lil Duke","Lil Duke,Travis Scott",2017-10-03,233640,42,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:21:33Z,"rap,slap house","YSL Records",0.798,0.511,10,-7.153,0,0.0411,0.763,0.0000403,0.359,0.696,112.036,4
